CNA,ErrorCode,ErrorName,ErrorCount
schneider,E004,check-leading-trailing-space,62
schneider,E007,check-invalid-version-string,850
schneider,E008,check-invalid-vendor-string,323
schneider,E009,check-invalid-product-string,27
securin,E007,check-invalid-version-string,1
sgi,E007,check-invalid-version-string,11
sgi,E008,check-invalid-vendor-string,11
sgi,E009,check-invalid-product-string,11
siemens,E002,check-duplicate-reference-url,3
siemens,E007,check-invalid-version-string,9471
siemens,E008,check-invalid-vendor-string,40
snyk,E004,check-leading-trailing-space,36
snyk,E007,check-invalid-version-string,163
snyk,E008,check-invalid-vendor-string,855
snyk,E009,check-invalid-product-string,5
snyk,E010,check-invalid-self-references,2
sonicwall,E004,check-leading-trailing-space,17
sonicwall,E007,check-invalid-version-string,386
suse,E004,check-leading-trailing-space,8
suse,E007,check-invalid-version-string,112
symantec,E004,check-leading-trailing-space,1
symantec,E006,check-affected-product-present,2
symantec,E007,check-invalid-version-string,344
symantec,E008,check-invalid-vendor-string,199
symantec,E009,check-invalid-product-string,133
synology,E007,check-invalid-version-string,53
synology,E008,check-invalid-vendor-string,8
synology,E009,check-invalid-product-string,8
talos,E007,check-invalid-version-string,1408
talos,E008,check-invalid-vendor-string,727
talos,E009,check-invalid-product-string,94
tenable,E002,check-duplicate-reference-url,1
tenable,E004,check-leading-trailing-space,30
tenable,E006,check-affected-product-present,1
tenable,E007,check-invalid-version-string,346
tenable,E008,check-invalid-vendor-string,341
tenable,E009,check-invalid-product-string,4
tibco,E004,check-leading-trailing-space,12
tibco,E007,check-invalid-version-string,22
tibco,E008,check-invalid-vendor-string,1
tibco,E009,check-invalid-product-string,1
trellix,E004,check-leading-trailing-space,34
trellix,E007,check-invalid-version-string,149
